user_id,name,email,password_hash,role,status
1,Michael Reid,ybridges@example.com,f0fec0a99ab8722b657640938cc4f23684d6438a614c3c0acf159ce43703c4bc,Fleet Manager,Active
2,Kathy Young,smithsarah@example.com,7a4dfd3e51b4926f40a173ac806a836bd8af171990057861ef6859af07ddfc59,Safety Officer,Active
3,Crystal Hall,kimwanda@example.com,f1a0bf27a176e4de5fbb9842913d85c58c992703668e655144ceedbfdcf0590b,Driver,Active
4,Gary Jimenez,bankssharon@example.org,6497801ecbe1c2a7bd0320c56fead83fc93231d15c2699ae74c9a81c77d9f644,Safety Officer,Active
5,Beth Reilly,umartin@example.com,6c3c67be12c256ac63c7fc47d030a75fad0b33f54b5e92e3d08150c77868d680,Driver,Active
6,Maurice Harrison,charlesgonzalez@example.net,138c4f0254547fc48ce8c4dc502909a06f8a12b7671bf0df96870c57223cb2c2,Driver,Active
7,Nicole Farmer,martinezthomas@example.com,5716016c7578e354cf869062be716cd13c7dd566bfbd59986fedaf260b4792cd,Driver,Active
8,Stacy Ortiz,stephanie86@example.com,ee0678e797a7429fa7bc3091c74242b07acbf968f06812b7f01ad2a5131d21f7,Fleet Manager,Active
9,Alexander Davis,esmith@example.net,20bc9425cdd06dc372311a8a5c5abaa0863f5691d151bd9ef91b73fc3a6bc7ca,Driver,Active
10,Laura Flores,whitegeorge@example.com,b059d08b8feb18e3f0342bd70b365a9a9b8e2c2cdd6b3cbcf9086644708b4505,Fleet Manager,Inactive
11,Philip Spears,dakotajones@example.org,2d98434e39b8d136353e86d1fff7ee8f3d7e04e2331e857a752d392b43e8ce5f,Safety Officer,Active
12,Michael Lowe,richardhays@example.net,55ab92492f39144c250a3c75470251f64d98164618ddb6336f27319b80d63e7b,Safety Officer,Active
13,Katherine Bennett,sharonsanchez@example.net,43e9e8b209a32f7bd11f7991ba23c7f3f01242e1f80e2ba0b92eb0b5341fc4de,Driver,Active
14,Patricia Webb,brett44@example.org,526b2c1416f7e9abc320d2ebb9944deebb48e5405478057deb79354f60fd7f3b,Driver,Inactive
15,Benjamin Morgan,tonyareese@example.com,b531877f631e618683e1b8df3933fd39e28c9949ebc45034c5e1f18761d20119,Driver,Active
16,Matthew Pruitt,njohnson@example.com,9b6bb632899ff4c28892f4dd26fdde658148ca2020c46f4de66bd15230145912,Financial Analyst,Active
17,Lindsay Simmons,iparker@example.net,8a22df86894a802e099b3fe5d3e59a50a339afc9412a816421e1210947705cc0,Financial Analyst,Active
18,Alexandra Jennings,bakermark@example.org,645147b8d4c73e7e43d33c53acf288567d717988ba487a97367488d20a980f5e,Driver,Active
19,Dawn Sullivan,dennisdavis@example.org,58684bd34b3b9a8a3c84691bfbda47e874834b6488602b6f1c834e498c7ff1fe,Driver,Active
20,Rachel Jones,riosdavid@example.net,fb699b8941e73bfd38c48904c4b1cc90a19df40fe63c7e9931a937f21f198892,Fleet Manager,Active
21,Stephen Howell,ivangray@example.net,fbc7b1174442d7c28419f20ddea46498a784627df0ce36801c7ae94c53b0a717,Driver,Active
22,Lindsey Wagner,gibbsalan@example.com,9956289013b5dda0a4b3ca380a9659d3c3aec3850f0bfb85f9190c0d93d5ec12,Driver,Inactive
23,Keith Dickerson,johnnyhorton@example.com,655f36c9140943eb3843275ff48d3fd56738df0f3e9d5ac6962af7078cbd7c3b,Financial Analyst,Active
24,Christopher Barber,lisa87@example.net,3e9e10cee6cbddbb53362ecb4224c4a6ff91b19ee9c6f1fec3385db4d5493233,Safety Officer,Active
25,Katie Navarro,kelly98@example.net,3d003864a03dbe46d854d94cba9e06524c049f30a485ece338ebc2b71aa90297,Safety Officer,Active
26,Erika Harris,stewartvictoria@example.org,0909426664756e01cae78c3b0a60624d007832e77bcf2a8da8ffafd5fecbb590,Driver,Active
27,Lori Aguirre,bwagner@example.net,b9ac9be616ee4e21d72a7772005b109e99a612756f0f56d0e5b0f4b2c0281bea,Driver,Active
28,Joseph Price,bjones@example.org,2944a186b316b2f302c4dd0695687951a58df6bfaa9e6011e4ac8862d18d7bf2,Financial Analyst,Active
29,Donald Lawrence,dcummings@example.org,0cfcdb5916fe39fa4d8daa6ef3af0ea527e47d47263e23f8fe0d126dad8e17e5,Driver,Active
30,Darren Melendez,johnsongerald@example.com,2eecf891d891215a201b040097898a394f55dae5ce83c0cac8936d4d210dd0f5,Driver,Inactive
